NODE_605_length_2200_cov_2.858741_3	Pfam,Pfam,TIGRFAM,Hamap	PF00333,PF03719,TIGR01021,MF_01307_B	IPR013810,IPR005324,IPR005712	Ribosomal protein S5, N-terminal domain,Ribosomal protein S5, C-terminal domain,rpsE_bact: ribosomal protein uS5,30S ribosomal protein S5 [rpsE].	GO:0003723,GO:0003735,GO:0005840,GO:0006412,GO:0015935	"NA"
NODE_66_length_37955_cov_473.057467_18	TIGRFAM,Pfam,CDD,Pfam	TIGR01944,PF04060,cd10549,PF00037	IPR010207,IPR007202,IPR017896	rnfB: electron transport complex, RnfABCDGE type, B subunit,Putative Fe-S cluster,MtMvhB_like,4Fe-4S binding domain	GO:0009055,GO:0051536	"NA"
NODE_66_length_37955_cov_473.057467_19	TIGRFAM,Pfam,Hamap	TIGR01943,PF02508,MF_00459	IPR011293,IPR003667	rnfA: electron transport complex, RnfABCDGE type, A subunit,Rnf-Nqr subunit, membrane protein,Electron transport complex subunit RsxA [rsxA].	GO:0022900,GO:0016020	"NA"
NODE_66_length_37955_cov_473.057467_2	CDD,TIGRFAM,Pfam,Pfam	cd09608,TIGR00181,PF01432,PF08439	IPR004438,IPR001567,IPR013647	M3B_PepF_3,pepF: oligoendopeptidase F,Peptidase family M3,Oligopeptidase F	GO:0004222,GO:0006508	"NA"
NODE_66_length_37955_cov_473.057467_20	Pfam,Hamap,TIGRFAM	PF02508,MF_00478,TIGR01948	IPR003667,IPR010968	Rnf-Nqr subunit, membrane protein,Electron transport complex subunit RsxE [rsxE].,rnfE: electron transport complex, RnfABCDGE type, E subunit	GO:0016020,GO:0022900	"NA"
NODE_66_length_37955_cov_473.057467_21	TIGRFAM,Pfam,Hamap	TIGR01947,PF04205,MF_00479	IPR010209,IPR007329	rnfG: electron transport complex, RnfABCDGE type, G subunit,FMN-binding domain,Electron transport complex subunit RsxG [rsxG].	GO:0005886,GO:0009055,GO:0022900,GO:0010181,GO:0016020	"NA"
NODE_66_length_37955_cov_473.057467_22	TIGRFAM,Pfam,Hamap	TIGR01946,PF03116,MF_00462	IPR011303,IPR004338	rnfD: electron transport complex, RnfABCDGE type, D subunit,NQR2, RnfD, RnfE family,Electron transport complex subunit RsxD [rsxD].	GO:0016021,GO:0022900,GO:0006810,GO:0016020	"NA"
NODE_66_length_37955_cov_473.057467_23	Pfam,Hamap,Pfam,TIGRFAM,Pfam,Pfam	PF13237,MF_00461,PF01512,TIGR01945,PF13375,PF10531	IPR017896,IPR010208,IPR011538,IPR026902,IPR019554	4Fe-4S dicluster domain,Electron transport complex subunit RsxC [rsxC].,Respiratory-chain NADH dehydrogenase 51 Kd subunit,rnfC: electron transport complex, RnfABCDGE type, C subunit,RnfC Barrel sandwich hybrid domain,SLBB domain	GO:0009055,GO:0016020,GO:0051539	"NA"
NODE_66_length_37955_cov_473.057467_24	TIGRFAM,Pfam	TIGR02872,PF01594	IPR014227,IPR002549	spore_ytvI: sporulation integral membrane protein YtvI,AI-2E family transporter	"NA"	"NA"
NODE_66_length_37955_cov_473.057467_25	Hamap,TIGRFAM,TIGRFAM,CDD,Pfam	MF_02126,TIGR03534,TIGR00536,cd02440,PF13847	IPR019874,IPR004556,IPR025714	Release factor glutamine methyltransferase [prmC].,RF_mod_PrmC: protein-(glutamine-N5) methyltransferase, release factor-specific,hemK_fam: methyltransferase, HemK family,AdoMet_MTases,Methyltransferase domain	GO:0008168,GO:0006479,GO:0008276	"NA"
NODE_66_length_37955_cov_473.057467_26	Pfam	PF07136	IPR010787	Protein of unknown function (DUF1385)	"NA"	"NA"
NODE_66_length_37955_cov_473.057467_27	CDD,Pfam,Pfam	cd07185,PF00691,PF13677	IPR006665,IPR025713	OmpA_C-like,OmpA family,Membrane MotB of proton-channel complex MotA/MotB	"NA"	"NA"
NODE_66_length_37955_cov_473.057467_28	Pfam	PF01618	IPR002898	MotA/TolQ/ExbB proton channel family	GO:0006810,GO:0008565,GO:0016020	"NA"
NODE_66_length_37955_cov_473.057467_29	Pfam	PF07833	IPR012854	Copper amine oxidase N-terminal domain	"NA"	"NA"
NODE_66_length_37955_cov_473.057467_3	Pfam,Pfam,CDD,Pfam,Pfam,CDD	PF08455,PF00176,cd00046,PF04434,PF00271,cd00079	IPR013663,IPR000330,IPR007527,IPR001650	Bacterial SNF2 helicase associated,SNF2 family N-terminal domain,DEXDc,SWIM zinc finger,Helicase conserved C-terminal domain,HELICc	GO:0005524,GO:0008270	"NA"
NODE_66_length_37955_cov_473.057467_30	Pfam,CDD	PF00942,cd00198	IPR001956	Cellulose binding domain,vWFA	GO:0005975,GO:0030248	"NA"
NODE_66_length_37955_cov_473.057467_31	Pfam	PF16472	IPR032485	Domain of unknown function (DUF5050)	"NA"	"NA"
NODE_66_length_37955_cov_473.057467_33	Pfam,CDD	PF01966,cd00077	IPR006674,IPR003607	HD domain,HDc	"NA"	"NA"
NODE_66_length_37955_cov_473.057467_4	Pfam,CDD	PF00300,cd07067	IPR013078	Histidine phosphatase superfamily (branch 1),HP_PGM_like	"NA"	"NA"
NODE_66_length_37955_cov_473.057467_5	Pfam,CDD	PF02653,cd06579	IPR001851	Branched-chain amino acid transport system / permease component,TM_PBP1_transp_AraH_like	GO:0005215,GO:0006810,GO:0016020	"NA"
NODE_66_length_37955_cov_473.057467_6	Pfam,Pfam,CDD,CDD	PF00005,PF00005,cd03216,cd03215	IPR003439	ABC transporter,ABC transporter,ABC_Carb_Monos_I,ABC_Carb_Monos_II	GO:0005524,GO:0016887	"NA"
NODE_66_length_37955_cov_473.057467_7	Pfam	PF13407	IPR025997	Periplasmic binding protein domain	"NA"	"NA"
NODE_66_length_37955_cov_473.057467_8	Pfam,Pfam,CDD	PF08240,PF00107,cd05285	IPR013154,IPR013149	Alcohol dehydrogenase GroES-like domain,Zinc-binding dehydrogenase,sorbitol_DH	GO:0055114	"NA"
NODE_66_length_37955_cov_473.057467_9	Pfam,CDD,Pfam	PF02780,cd07033,PF02779	IPR033248,IPR005475	Transketolase, C-terminal domain,TPP_PYR_DXS_TK_like,Transketolase, pyrimidine binding domain	"NA"	"NA"
NODE_660_length_2066_cov_2.510194_1	Pfam	PF14512	IPR029478	Putative TM nitroreductase	"NA"	"NA"
NODE_660_length_2066_cov_2.510194_3	Pfam,CDD	PF02915,cd01041	IPR003251	Rubrerythrin,Rubrerythrin	GO:0016491,GO:0046872,GO:0055114	"NA"
NODE_6602_length_273_cov_1.302752_1	Pfam	PF00483	IPR005835	Nucleotidyl transferase	GO:0009058,GO:0016779	"NA"
NODE_6604_length_273_cov_1.302752_1	Pfam	PF00749	IPR020058	tRNA synthetases class I (E and Q), catalytic domain	GO:0005524,GO:0016876,GO:0043039	"NA"
NODE_6605_length_273_cov_1.298165_1	Pfam	PF01969	IPR035108	Protein of unknown function DUF111	"NA"	"NA"
NODE_6606_length_273_cov_1.298165_1	Pfam	PF00155	IPR004839	Aminotransferase class I and II	GO:0009058,GO:0030170	"NA"
NODE_6607_length_273_cov_1.275229_1	Hamap,Pfam,CDD	MF_00023,PF01668,cd09294	IPR000037	SsrA-binding protein [smpB].,SmpB protein,SmpB	GO:0003723	"NA"
NODE_661_length_2065_cov_2.111443_2	CDD,TIGRFAM,TIGRFAM,Pfam,Hamap	cd02163,TIGR00125,TIGR01510,PF01467,MF_00151	IPR001980,IPR004821	PPAT,cyt_tran_rel: cytidyltransferase-like domain,coaD_prev_kdtB: pantetheine-phosphate adenylyltransferase,Cytidylyltransferase-like,Phosphopantetheine adenylyltransferase [coaD].	GO:0004595,GO:0015937,GO:0003824,GO:0009058	KEGG:00770+2.7.7.3
NODE_661_length_2065_cov_2.111443_3	Pfam,TIGRFAM,CDD	PF03602,TIGR00095,cd02440	IPR004398	Conserved hypothetical protein 95,TIGR00095: 16S rRNA (guanine(966)-N(2))-methyltransferase RsmD,AdoMet_MTases	GO:0008168,GO:0031167	"NA"
NODE_661_length_2065_cov_2.111443_4	Pfam	PF00269	IPR001448	Small, acid-soluble spore proteins, alpha/beta type	GO:0003690,GO:0006265	"NA"
NODE_6610_length_273_cov_1.192661_1	Pfam	PF01867	IPR002729	CRISPR associated protein Cas1	GO:0003676,GO:0004519,GO:0043571,GO:0046872,GO:0051607	"NA"
NODE_6614_length_273_cov_0.977064_1	Pfam	PF03977	IPR005661	Na+-transporting oxaloacetate decarboxylase beta subunit	GO:0006814,GO:0016829	KEGG:00620+4.1.1.3
NODE_6615_length_273_cov_0.977064_1	Pfam	PF00586	IPR016188	AIR synthase related protein, N-terminal domain	"NA"	"NA"
NODE_6616_length_273_cov_0.977064_1	CDD,Pfam	cd06261,PF00528	IPR000515	TM_PBP2,Binding-protein-dependent transport system inner membrane component	GO:0006810,GO:0016020	"NA"
NODE_6618_length_273_cov_0.977064_1	TIGRFAM	TIGR01494	IPR001757	ATPase_P-type: HAD ATPase, P-type, family IC	GO:0016021	"NA"
NODE_662_length_2056_cov_167.331834_1	Pfam	PF00149	IPR004843	Calcineurin-like phosphoesterase	GO:0016787	"NA"
NODE_662_length_2056_cov_167.331834_2	Pfam,CDD	PF03479,cd11378	IPR005175	Domain of unknown function (DUF296),DUF296	"NA"	"NA"
NODE_6622_length_273_cov_0.853211_1	Pfam	PF02445	IPR003473	Quinolinate synthetase A protein	GO:0008987,GO:0009435,GO:0051539	"NA"
NODE_6624_length_272_cov_2.617512_1	Pfam,Pfam	PF00395,PF00395	IPR001119	S-layer homology domain,S-layer homology domain	"NA"	"NA"
NODE_6625_length_272_cov_2.290323_1	Pfam	PF02882	IPR020631	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain	GO:0004488	KEGG:00670+1.5.1.5+3.5.4.9,KEGG:00720+1.5.1.5+3.5.4.9
NODE_6628_length_272_cov_2.175115_1	Pfam,Pfam	PF00037,PF04015	IPR017896,IPR007160	4Fe-4S binding domain,Domain of unknown function (DUF362)	"NA"	"NA"
NODE_663_length_2050_cov_11.580952_1	Pfam	PF01235	IPR001463	Sodium:alanine symporter family	GO:0006814,GO:0015655,GO:0016020,GO:0032328	"NA"
NODE_663_length_2050_cov_11.580952_2	Pfam	PF01370	IPR001509	NAD dependent epimerase/dehydratase family	GO:0003824,GO:0050662	"NA"
NODE_663_length_2050_cov_11.580952_4	CDD,Pfam	cd00293,PF00582	IPR006016	USP_Like,Universal stress protein family	GO:0006950	"NA"
NODE_6632_length_272_cov_1.635945_1	Pfam	PF01992	IPR002843	ATP synthase (C/AC39) subunit	"NA"	"NA"
NODE_6633_length_272_cov_1.635945_1	Pfam	PF01264	IPR000453	Chorismate synthase	GO:0004107,GO:0009073	KEGG:00400+4.2.3.5
NODE_6635_length_272_cov_1.594470_1	Pfam	PF00318	IPR001865	Ribosomal protein S2	GO:0003735,GO:0005622,GO:0005840,GO:0006412	"NA"
NODE_6639_length_272_cov_1.308756_1	Pfam	PF02154	IPR001689	Flagellar motor switch protein FliM	GO:0003774,GO:0009425,GO:0071973	"NA"
NODE_664_length_2044_cov_1.977878_1	Pfam	PF04820	IPR006905	Tryptophan halogenase	"NA"	"NA"
NODE_664_length_2044_cov_1.977878_3	Pfam,CDD	PF00535,cd04179	IPR001173	Glycosyl transferase family 2,DPM_DPG-synthase_like	"NA"	"NA"
NODE_664_length_2044_cov_1.977878_4	CDD,Pfam	cd00761,PF00535	IPR001173	Glyco_tranf_GTA_type,Glycosyl transferase family 2	"NA"	"NA"
NODE_6641_length_272_cov_1.308756_2	Pfam,CDD	PF01257,cd03064	IPR002023	Thioredoxin-like [2Fe-2S] ferredoxin,TRX_Fd_NuoE	GO:0016491,GO:0055114	"NA"
NODE_6642_length_272_cov_1.308756_1	Pfam	PF02445	IPR003473	Quinolinate synthetase A protein	GO:0008987,GO:0009435,GO:0051539	"NA"
NODE_6645_length_272_cov_1.193548_1	Pfam	PF01416	IPR020097	tRNA pseudouridine synthase	GO:0001522,GO:0003723,GO:0009451,GO:0009982	"NA"
NODE_6646_length_272_cov_0.981567_1	Pfam	PF02608	IPR003760	ABC transporter substrate-binding protein PnrA-like	GO:0005886	"NA"
NODE_6647_length_272_cov_0.981567_1	CDD,Pfam	cd06223,PF00156	IPR000836	PRTases_typeI,Phosphoribosyl transferase domain	GO:0009116	"NA"
NODE_6648_length_272_cov_0.981567_1	Pfam	PF11155	IPR021328	Domain of unknown function (DUF2935)	"NA"	"NA"
NODE_6649_length_272_cov_0.981567_1	Pfam	PF06690	IPR009573	Protein of unknown function (DUF1188)	"NA"	"NA"
NODE_665_length_2042_cov_2.232511_2	TIGRFAM,CDD,Pfam,Pfam	TIGR01891,cd09849,PF07687,PF01546	IPR017439,IPR011650,IPR002933	amidohydrolases: amidohydrolase,M20_Acy1L2_like_2,Peptidase dimerisation domain,Peptidase family M20/M25/M40	GO:0016787,GO:0008152	"NA"
NODE_665_length_2042_cov_2.232511_3	Pfam	PF11299	IPR021450	Protein of unknown function (DUF3100)	"NA"	"NA"
NODE_6652_length_272_cov_0.976959_1	Pfam	PF02574	IPR003726	Homocysteine S-methyltransferase	"NA"	"NA"
NODE_6653_length_272_cov_0.967742_1	Pfam	PF01208	IPR000257	Uroporphyrinogen decarboxylase (URO-D)	GO:0004853,GO:0006779	KEGG:00860+4.1.1.37
NODE_6654_length_272_cov_0.889401_1	Pfam	PF07470	IPR010905	Glycosyl Hydrolase Family 88	"NA"	"NA"
NODE_6657_length_271_cov_2.625000_1	Pfam	PF00557	IPR000994	Metallopeptidase family M24	"NA"	"NA"
NODE_6658_length_271_cov_2.092593_1	Pfam	PF00534	IPR001296	Glycosyl transferases group 1	"NA"	"NA"
NODE_666_length_2041_cov_6.814703_3	Pfam	PF06048	IPR009270	Domain of unknown function (DUF927)	"NA"	"NA"
NODE_6662_length_271_cov_1.629630_1	Pfam	PF01259	IPR028923	SAICAR synthetase	"NA"	KEGG:00230+6.3.2.6
NODE_6666_length_271_cov_1.564815_1	Pfam	PF11148	IPR021321	Protein of unknown function (DUF2922)	"NA"	"NA"
NODE_6669_length_271_cov_1.185185_1	Pfam,CDD	PF13377,cd06267	"NA"	Periplasmic binding protein-like domain,PBP1_LacI_sugar_binding_like	"NA"	"NA"
NODE_667_length_2041_cov_3.304632_2	CDD,Pfam	cd00761,PF00535	IPR001173	Glyco_tranf_GTA_type,Glycosyl transferase family 2	"NA"	"NA"
NODE_6670_length_271_cov_1.004630_1	Pfam	PF00580	IPR034739	UvrD/REP helicase N-terminal domain	GO:0005524	"NA"
NODE_6675_length_271_cov_0.912037_1	Pfam	PF00411	IPR001971	Ribosomal protein S11	GO:0003735,GO:0005840,GO:0006412	"NA"
NODE_6676_length_270_cov_33.158140_1	Pfam	PF07833	IPR012854	Copper amine oxidase N-terminal domain	"NA"	"NA"
NODE_6677_length_270_cov_6.083721_1	TIGRFAM,Pfam	TIGR01494,PF00122	IPR001757	ATPase_P-type: HAD ATPase, P-type, family IC,E1-E2 ATPase	GO:0016021	"NA"
NODE_6678_length_270_cov_1.981395_1	Pfam	PF14296	IPR029468	O-antigen polysaccharide polymerase Wzy	"NA"	"NA"
NODE_668_length_2040_cov_528.273552_2	Pfam,CDD	PF13155,cd03364	IPR034151	Toprim-like,TOPRIM_DnaG_primases	"NA"	"NA"
NODE_6681_length_270_cov_1.618605_1	Pfam	PF02615	IPR003767	Malate/L-lactate dehydrogenase	GO:0008152,GO:0016491,GO:0055114	"NA"
NODE_6682_length_270_cov_1.581395_1	Pfam	PF03547	IPR004776	Membrane transport protein	GO:0016021,GO:0055085	"NA"
NODE_6683_length_270_cov_1.567442_1	Pfam	PF13280	IPR026881	WYL domain	"NA"	"NA"
NODE_6684_length_270_cov_1.502326_1	Pfam	PF16581	IPR032266	Cytidyltransferase-related C-terminal region	"NA"	"NA"
NODE_6685_length_270_cov_1.320930_1	Pfam	PF07561	IPR011437	Domain of Unknown Function (DUF1540)	"NA"	"NA"
NODE_6689_length_270_cov_1.320930_1	Pfam,Pfam	PF01018,PF01926	IPR006169,IPR006073	GTP1/OBG,50S ribosome-binding GTPase	GO:0005525	"NA"
NODE_669_length_2030_cov_2.526076_3	CDD,Pfam	cd00056,PF00730	IPR003265	ENDO3c,HhH-GPD superfamily base excision DNA repair protein	GO:0006284	"NA"
NODE_669_length_2030_cov_2.526076_4	Pfam	PF07934	IPR012904	8-oxoguanine DNA glycosylase, N-terminal domain	GO:0003684,GO:0006289,GO:0008534	"NA"
NODE_6690_length_270_cov_1.320930_1	CDD,Pfam	cd00761,PF00535	IPR001173	Glyco_tranf_GTA_type,Glycosyl transferase family 2	"NA"	"NA"
NODE_6691_length_270_cov_1.316279_1	Pfam	PF05343	IPR008007	M42 glutamyl aminopeptidase	"NA"	"NA"
NODE_6694_length_270_cov_1.265116_1	Pfam	PF00205	IPR012000	Thiamine pyrophosphate enzyme, central domain	GO:0000287,GO:0030976	"NA"
NODE_6695_length_270_cov_0.990698_1	Pfam	PF13361	IPR014017	UvrD-like helicase C-terminal domain	GO:0005524,GO:0016787	"NA"
NODE_6696_length_270_cov_0.990698_1	Pfam	PF08544	IPR013750	GHMP kinases C terminal	"NA"	"NA"
NODE_67_length_37840_cov_448.219426_1	Hamap,TIGRFAM,Pfam	MF_00605,TIGR00088,PF01746	IPR002649,IPR016009	tRNA (guanine-N(1)-)-methyltransferase [trmD].,trmD: tRNA (guanine(37)-N(1))-methyltransferase,tRNA (Guanine-1)-methyltransferase	GO:0008033,GO:0052906	KEGG:00340+2.1.1.22
NODE_67_length_37840_cov_448.219426_10	Pfam,Hamap,TIGRFAM	PF01715,MF_00185,TIGR00174	IPR018022	IPP transferase,tRNA dimethylallyltransferase [miaA].,miaA: tRNA dimethylallyltransferase	GO:0008033	KEGG:00908+2.5.1.75
NODE_67_length_37840_cov_448.219426_11	CDD,Pfam,Pfam,Hamap,CDD,TIGRFAM,Pfam	cd00782,PF13589,PF08676,MF_00149,cd00075,TIGR00585,PF01119	IPR014790,IPR020667,IPR002099,IPR013507	MutL_Trans,Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase,MutL C terminal dimerisation domain,DNA mismatch repair protein MutL [mutL].,HATPase_c,mutl: DNA mismatch repair protein MutL,DNA mismatch repair protein, C-terminal domain	GO:0005524,GO:0006298,GO:0030983	"NA"
NODE_67_length_37840_cov_448.219426_12	Hamap,Pfam,Pfam,Pfam,TIGRFAM,Pfam,Pfam,CDD	MF_00096,PF05192,PF01624,PF05188,TIGR01070,PF05190,PF00488,cd03284	IPR005748,IPR007696,IPR007695,IPR007860,IPR007861,IPR000432	DNA mismatch repair protein MutS [mutS].,MutS domain III,MutS domain I,MutS domain II,mutS1: DNA mismatch repair protein MutS,MutS family domain IV,MutS domain V,ABC_MutS1	GO:0005524,GO:0006298,GO:0030983	"NA"
NODE_67_length_37840_cov_448.219426_13	Pfam	PF06133	IPR010368	Control of competence regulator ComK, YlbF/YmcA	"NA"	"NA"
NODE_67_length_37840_cov_448.219426_14	Pfam,CDD,Pfam,Pfam	PF14504,cd05379,PF00188,PF07833	IPR029410,IPR014044,IPR012854	CAP-associated N-terminal,SCP_bacterial,Cysteine-rich secretory protein family,Copper amine oxidase N-terminal domain	"NA"	"NA"
NODE_67_length_37840_cov_448.219426_15	TIGRFAM,TIGRFAM,Pfam	TIGR01509,TIGR01549,PF13419	IPR006439,IPR023214	HAD-SF-IA-v3: HAD hydrolase, family IA, variant 3,HAD-SF-IA-v1: HAD hydrolase, family IA, variant 1,Haloacid dehalogenase-like hydrolase	GO:0008152,GO:0016787	"NA"
NODE_67_length_37840_cov_448.219426_16	Pfam,CDD	PF13673,cd04301	IPR000182	Acetyltransferase (GNAT) domainT_SF	GO:0008080	"NA"
NODE_67_length_37840_cov_448.219426_18	TIGRFAM,Hamap,Pfam,TIGRFAM,Pfam,Pfam,CDD	TIGR01574,MF_01864,PF00919,TIGR00089,PF01938,PF04055,cd01335	IPR006463,IPR013848,IPR005839,IPR002792,IPR007197	miaB-methiolase: tRNA-i(6)A37 thiotransferase enzyme MiaB,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase [miaB].,Uncharacterized protein family UPF0004,TIGR00089: radical SAM methylthiotransferase, MiaB/RimO family,TRAM domain,Radical SAM superfamily,Radical_SAM	GO:0005737,GO:0006400,GO:0016740,GO:0051539,GO:0003824,GO:0051536	"NA"
NODE_67_length_37840_cov_448.219426_19	CDD	cd06223	IPR000836	PRTases_typeI	GO:0009116	"NA"
NODE_67_length_37840_cov_448.219426_2	Hamap,Pfam,TIGRFAM,Pfam	MF_00014,PF05239,TIGR02273,PF01782	IPR011961,IPR027275,IPR002676	Ribosome maturation factor RimM [rimM].,PRC-barrel domain,16S_RimM: 16S rRNA processing protein RimM,RimM N-terminal domain	GO:0005840,GO:0006364,GO:0043022	"NA"
NODE_67_length_37840_cov_448.219426_22	Hamap,TIGRFAM,Pfam,CDD	MF_00110,TIGR01357,PF01761,cd08195	IPR016037,IPR030960	3-dehydroquinate synthase [aroB].,aroB: 3-dehydroquinate synthase,3-dehydroquinate synthase,DHQS	GO:0003856,GO:0005737,GO:0009073	KEGG:00400+4.2.3.4
NODE_67_length_37840_cov_448.219426_23	Pfam,Pfam,Hamap,CDD,CDD,TIGRFAM,Pfam	PF06827,PF00133,MF_02002,cd00818,cd07960,TIGR00392,PF08264	IPR010663,IPR002300,IPR023585,IPR033708,IPR002301,IPR013155	Zinc finger found in FPG and IleRS,tRNA synthetases class I (I, L, M and V),Isoleucine--tRNA ligase [ileS].,IleRS_core,Anticodon_Ia_Ile_BEm,ileS: isoleucine--tRNA ligase,Anticodon-binding domain of tRNA	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0004822,GO:0000049,GO:0005737,GO:0006428	KEGG:00970+6.1.1.5
NODE_67_length_37840_cov_448.219426_24	Pfam,TIGRFAM	PF05103,TIGR03544	IPR007793,IPR019933	DivIVA protein,DivI1A_domain: DivIVA domain	"NA"	"NA"
NODE_67_length_37840_cov_448.219426_25	CDD,Pfam	cd00165,PF01479	IPR002942	S4,S4 domain	GO:0003723	"NA"
NODE_67_length_37840_cov_448.219426_26	Pfam	PF02325	IPR003425	YGGT family	GO:0016020	"NA"
NODE_67_length_37840_cov_448.219426_27	Hamap,Pfam	MF_01197,PF04472	IPR023052,IPR007561	Cell division protein SepF [sepF].,Cell division protein SepF	GO:0090529	"NA"
NODE_67_length_37840_cov_448.219426_28	Pfam,TIGRFAM,CDD	PF01168,TIGR00044,cd00635	IPR001608,IPR011078	Alanine racemase, N-terminal domain,TIGR00044: pyridoxal phosphate enzyme, YggS family,PLPDE_III_YBL036c_like	"NA"	KEGG:00473+5.1.1.1
NODE_67_length_37840_cov_448.219426_3	Hamap,Pfam	MF_00088,PF13083	IPR020627	UPF0109 protein <locus_tag>.,KH domain	"NA"	"NA"
NODE_67_length_37840_cov_448.219426_30	Pfam	PF06838	IPR009651	Methionine gamma-lyase	"NA"	"NA"
NODE_67_length_37840_cov_448.219426_31	Pfam,CDD,CDD,Pfam	PF02903,cd11338,cd02857,PF00128	IPR004185,IPR006047	Alpha amylase, N-terminal ig-like domain,AmyAc_CMD,E_set_CDase_PDE_N,Alpha amylase, catalytic domain	GO:0004553,GO:0005975,GO:0003824	"NA"
NODE_67_length_37840_cov_448.219426_32	CDD,Pfam,Pfam,CDD,Pfam,Pfam	cd01831,PF00404,PF00404,cd14256,PF00150,PF13472	IPR002105,IPR001547,IPR013830	Endoglucanase_E_like,Dockerin type I repeat,Dockerin type I repeat,Dockerin_I,Cellulase (glycosyl hydrolase family 5),GDSL-like Lipase/Acylhydrolase family	GO:0000272,GO:0004553,GO:0005975	"NA"
NODE_67_length_37840_cov_448.219426_33	Pfam,Pfam,CDD,Pfam,Pfam,CDD,CDD	PF00404,PF00404,cd01833,PF13472,PF13472,cd01833,cd14256	IPR002105,IPR013830	Dockerin type I repeat,Dockerin type I repeat,XynB_like,GDSL-like Lipase/Acylhydrolase family,GDSL-like Lipase/Acylhydrolase family,XynB_like,Dockerin_I	GO:0000272,GO:0004553	"NA"
NODE_67_length_37840_cov_448.219426_34	CDD,Pfam,Pfam,CDD	cd00156,PF00486,PF00072,cd00383	IPR001789,IPR001867	REC,Transcriptional regulatory protein, C terminal,Response regulator receiver domain,trans_reg_C	GO:0000160,GO:0003677,GO:0006355	"NA"
NODE_67_length_37840_cov_448.219426_35	CDD,CDD,Pfam,Pfam	cd00075,cd00082,PF00512,PF02518	IPR003661,IPR003594	HATPase_c,HisKA,His Kinase A (phospho-acceptor) domain,Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	GO:0000155,GO:0007165	"NA"
NODE_67_length_37840_cov_448.219426_4	Pfam,Hamap,TIGRFAM	PF00886,MF_00385,TIGR00002	IPR000307	Ribosomal protein S16,30S ribosomal protein S16 [rpsP].,S16: ribosomal protein bS16	GO:0003735,GO:0005622,GO:0005840,GO:0006412	"NA"
NODE_67_length_37840_cov_448.219426_5	TIGRFAM,Pfam,Hamap,Pfam,Pfam,CDD	TIGR00959,PF00448,MF_00306,PF02881,PF02978,cd03115	IPR004780,IPR000897,IPR022941,IPR013822,IPR004125	ffh: signal recognition particle protein,SRP54-type protein, GTPase domain,Signal recognition particle 54 kDa protein [srp54].,SRP54-type protein, helical bundle domain,Signal peptide binding domain,SRP	GO:0003924,GO:0005525,GO:0006614,GO:0048500,GO:0008312	"NA"
NODE_67_length_37840_cov_448.219426_6	Pfam,Hamap	PF04297,MF_00245	IPR007394	Putative helix-turn-helix protein, YlxM / p13 like,UPF0122 protein <locus_tag>.	"NA"	"NA"
NODE_67_length_37840_cov_448.219426_7	Pfam,CDD	PF01476,cd00118	IPR018392	LysM domain,LysM	"NA"	"NA"
NODE_67_length_37840_cov_448.219426_8	CDD,Pfam,Hamap,TIGRFAM,CDD,Pfam	cd06529,PF01726,MF_00015,TIGR00498,cd00090,PF00717	IPR006199,IPR006200,IPR015927	S24_LexA-like,LexA DNA binding domain,LexA repressor [lexA].,lexA: repressor LexA,HTH_ARSR,Peptidase S24-like	GO:0004252,GO:0006508,GO:0009432,GO:0045892	"NA"
NODE_67_length_37840_cov_448.219426_9	Hamap,TIGRFAM,Pfam,CDD	MF_00436,TIGR02383,PF17209,cd01716	IPR005001	RNA-binding protein Hfq [hfq].,Hfq: RNA chaperone Hfq,Hfq protein,Hfq	GO:0003723,GO:0006355	"NA"
NODE_6700_length_270_cov_0.916279_1	Pfam	PF13288	IPR026877	DXP reductoisomerase C-terminal domain	"NA"	KEGG:00630+1.1.1.26,KEGG:00900+1.1.1.267
NODE_6701_length_270_cov_0.841860_1	Pfam	PF13432	"NA"	Tetratricopeptide repeat	"NA"	"NA"
NODE_6702_length_269_cov_2.654206_1	Pfam	PF00206	IPR022761	Lyase	"NA"	"NA"
NODE_6708_length_269_cov_1.570093_1	Pfam	PF01041	IPR000653	DegT/DnrJ/EryC1/StrS aminotransferase family	"NA"	"NA"
NODE_671_length_2026_cov_1.902080_1	Pfam,TIGRFAM,TIGRFAM	PF01702,TIGR00449,TIGR00430	IPR002616,IPR004803	Queuine tRNA-ribosyltransferase,tgt_general: tRNA-guanine family transglycosylase,Q_tRNA_tgt: tRNA-guanine transglycosylase	GO:0006400,GO:0016763,GO:0008479,GO:0101030	"NA"
NODE_671_length_2026_cov_1.902080_2	Pfam	PF03471	IPR005170	Transporter associated domain	"NA"	"NA"
NODE_671_length_2026_cov_1.902080_3	Pfam,TIGRFAM	PF02547,TIGR00113	IPR003699	Queuosine biosynthesis protein,queA: S-adenosylmethionine:tRNA ribosyltransferase-isomerase	GO:0008616,GO:0016740,GO:0016853	"NA"
NODE_6714_length_269_cov_1.322430_1	Pfam	PF00005	IPR003439	ABC transporter	GO:0005524,GO:0016887	"NA"
